File Name,Object ID,Title,Creator,Subject,Description ,Date,Coverage,Publisher,Contributor,Audience,Alt Text,Format,Type,Rights,Rights Statement,File Size
wbp_001.jpg,photo1,Neva at the Meeves Country Store,Walter Bennett,Neva Meeves; Country Store; Life Post War; Food; Meeves Family,Neva Meeves sitting behind the counter at the Meeves Family Country Store in Union County South Dakota. ,1953-1967,"Union County, South Dakota, USA","Bennett, Mackenzie ","Bennett, Stuart",Bennett Family; American Historians,Woman sits behind the counter of a convience strore ,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",114.4 kb
wbp_002.jpg,photo2,Enjoying a Drink in Merano,Unknown,Walter Bennett; Soldier; US Army Fatigues; TRUST;  Forst Lager; Downtime; Life during War,Walter Bennett and Fellow Solider enjoying a Forst Lager in their downtime while stationed in Merano Italy. ,1950-1952,"Merano, Bolzano, Italy","Bennett, Mackenzie ","Bennett, Stuart",American Historians;Bennett Family;Post WW2 Historians;History Teachers  ,Two soldier sitting at a table drinking beer,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",79.2 kb
wbp_003.jpg,photo3,Soldier Waving Hello,Walter Bennett,Soldier; US Army Fatigues; TRUST; Life during War; Alpine Foothills; Tank,A group of soldiers gathered around a US Military Vehicle in the Alpine Foothills in Italy. One soldier smiles and waves to the camera. ,1950-1953,"Alpine Foothills, Italy","Bennett, Mackenzie ","Bennett, Stuart",American Historians;Bennett Family;Post WW2 Historians;History Teachers  ,Group of soliders gathered around a tank,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",118.8 kb
wbp_004.jpg,photo4,Walter Posing with M3A1 Half Track,Unknown,"Military Vehicle; 
Walter Bennett; US Army Fatigues; TRUST; Life during War
",Walter Bennett pictured in his fatigues posing next to a M3A1 Half-Track Military Vehi,1950-1952,,"Bennett, Mackenzie ","Bennett, Stuart","American Historians;Bennett Family;Post WW2 Historians;History Teachers  
",man posting with military vehicle wearing fatigues,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",64.6 kb
wbp_005.jpg,photo5,Marilyn and Walt,Unknown,"Marilyn Bennett; Walter Bennett; Life Post War
",Marilyn Bennett (Left) and Walter Bennett (right) photographed together,1964,"Union County, South Dakota, USA","Bennett, Mackenzie ","Bennett, Stuart",Bennett Family;American Historians,woman and man posing together and smiling,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",72.8 kb
wbp_006.jpg,photo6,Game Night in the Barrracks,Walter Bennett,"Soldier; Monopoly; Downtime; Life during War; TRUST
",Group of four unknown soldiers playing monopoly in their downtime. ,1950-1952,"Merano, Italy","Bennett, Mackenzie ","Bennett, Stuart",American Historians;Bennett Family;Post WW2 Historians;History Teachers  ,Group of mrn playing monoloply,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",60.1 kb
wbp_007.jpg,photo7,On the Canton Farm,Unknown,Farmland; South Dakota; Canton Farm; Life Post War; Scott Bennett; Walter Bennett; Midwest,Scott (Left) with his father Walter (Right) on the Canton Farm in Richland South Dakota,1958,"Richland, South Dakota, USA","Bennett, Mackenzie ","Bennett, Stuart","American Historians;Bennett Family;South Dakota Farmers 
",young boy standing with his father in front of a field ,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",97.2 kb
wbp_008.jpg,photo8,Taking a ride,Unknown,Walter Bennett; Scott Bennett; Farmland; Canton Farm; Farming Equipment; Life post war; Midwest,Scott (Left) sits on his father Walter’s (right) lap on an international farmall ,1957,"Richland, South Dakota, USA","Bennett, Mackenzie ","Bennett, Stuart","American Historians;Bennett Family;South Dakota Farmers 
",young boy sitting on the lap of his father on a red tractor,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",81.2 kb
wbp_009.jpg,photo9,Shipping out,Walter Bennett,"Life During War; Army; TRUST; Boat; US Army Fatigues

",A group of soldiesr look at the New York City Skyline as they ship out to Europe ,1950-1952,"New York City, New York, USA","Bennett, Mackenzie ","Bennett, Stuart",American Historians;Bennett Family;Post WW2 Historians;History Teachers  ,group of men standing on a boat over looking the ocean and the New York City Skyline,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",77.3 KB
wbp_010.jpg,photo10,Explosion,Walter Bennett,Military Vehicle; Army; TRUST; Alpine Foothills; Life during War; Landscape, A US Army Tank creates an explosion in the Alpine Foothills in Italy,1950-1952,"Alpine Foothills, Italy","Bennett, Mackenzie ","Bennett, Stuart",American Historians;Bennett Family;Post WW2 Historians;History Teachers  ,military tank creatiing an explosion in a field,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",107 kb
wbp_011.jpg,photo11,Honeymoon in the Badlands,Walter Bennett,Marilyn Bennett; Life Post War; Honeymoon; Badlands; Landscape; National Parks; Midwest,Marilyn Bennett photographed while sitting on a rock in the Badlands on her Honeymoon with Walter Bennett,1953,"South Dakota, USA","Bennett, Mackenzie ","Bennett, Stuart",American Historians;Bennett Family,woman sitting on a rock in front of a landscape of the Badlands,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",82.3 kb
wbp_012.jpg,photo12,Honeymoon at the Grand Canyon,Walter Bennett,Marilyn Bennett; Life Post War; Honeymoon; Grand Canyon; Landscape; National Parks,Marilyn Bennett stands in front of the Grand Canyon on her Honeymoon in 1953,1953,"Grand Canyon, AZ, USA","Bennett, Mackenzie ","Bennett, Stuart",American Historians;Bennett Family,woman standing in front of a landscape of the grand canyon,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",68.6 kb
wbp_013.jpg,photo13,Meeves Family around the piano,Walter Bennett,Marilyn Bennett; Life Post War; Piano; Midwest; Meeves Family; Neva Meeves,Meeves family gathered around the piano in their family home,1953,"Richland, South Dakota, USA","Bennett, Mackenzie ","Bennett, Stuart",American Historians;Bennett Family; Erikson Family,Family gathered around a piano in their living room,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",75.2 kb
wbp_014.jpg,photo14,Taking in the View,Unknown,Walter Bennett; Alpine Foothills; Landscape; Soldier; TRUST; US Army; US Army Fatigues; Life during War,Walter Bennett and fellow Soldier standing in front of the Alpine Foothills mountains in Italy,1950-1952,"Alpine Foothills, Italy","Bennett, Mackenzie ","Bennett, Stuart",American Historians;Bennett Family;Post WW2 Historians;History Teachers ,Two soliders standing in front of a heavily forested mountain landscape,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",96.5 kb
wbp_015.jpg,photo15,Cafe on the Beach,Walter Bennett,Alpine Foothills; Downtime; Life during War; Beach; Mountain,Group of beach goers gathered around a cafe,1950-1952,"Alpine Foothills, Italy","Bennett, Mackenzie ","Bennett, Stuart",American Historians;Bennett Family;Post WW2 Historians;History Teachers ,Group of people standing around an outdoor cafe,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",118.9 kb
wbp_016.jpg,photo16,Bennett Family Photo,Unknown,Walter Bennett; Marilyn Bennett; Scott Bennett;Tari Skosberg; Stuart Bennett; Steve Bennett,"Bennett Family poses for a family photo. Left to Right Tari Skosberg, Scott Bennett, Stuart Bennett, Marilyn Bennett, Walter Bennett, Steve Bennett",1964,"Richland, South Dakota, USA","Bennett, Mackenzie ","Bennett, Stuart",American Historians;History Teachers ,Family pf sixposes for a photo,image/jpeg,Image;StillImage,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,"This photo can be used for educational use, if there are any additional questions please contact Mackenzie Bennett.",87.4 kb
